# Generated Laser Tracks with the following resolutions: 0.1 deg (horizontal) / 1 deg (vertical)
# angles measured from beam direction: horizontal (phi): counter-clockwise from beam direction
#                                      vertical (thetha): counter-clockwise (towards top) from beam direction
#  X[cm], Y[cm], Z[cm], thetha[deg], phi[deg] 
127.0 0.0 25.0 285.6456 313.2429
127.0 0.0 25.0 285.6456 313.3394
127.0 0.0 25.0 285.6456 313.4358
127.0 0.0 25.0 285.6456 317.7149
127.0 0.0 25.0 285.6456 317.8046
127.0 0.0 25.0 285.6456 317.8943
127.0 0.0 25.0 285.6456 317.9840
127.0 0.0 25.0 285.6456 318.0737
127.0 0.0 25.0 285.6456 318.1634
127.0 0.0 25.0 285.6456 318.2531
127.0 0.0 25.0 285.6456 318.3428
127.0 0.0 25.0 285.6456 322.9583
127.0 0.0 25.0 285.6456 323.0525
127.0 0.0 25.0 285.6456 323.1468
127.0 0.0 25.0 285.6456 323.2410
127.0 0.0 25.0 285.6456 323.3353
127.0 0.0 25.0 285.6456 323.4295
127.0 0.0 25.0 285.6456 323.5238
127.0 0.0 25.0 285.6456 323.6180
127.0 0.0 25.0 285.6456 323.7123
127.0 0.0 25.0 285.6456 323.8065
127.0 0.0 25.0 285.6456 323.9008
127.0 0.0 25.0 285.6456 323.9950
127.0 0.0 25.0 285.6456 324.0893
127.0 0.0 25.0 285.6456 329.0621
127.0 0.0 25.0 285.6456 329.1574
127.0 0.0 25.0 285.6456 329.2526
127.0 0.0 25.0 285.6456 329.3478
127.0 0.0 25.0 285.6456 329.4431
127.0 0.0 25.0 285.6456 329.5383
127.0 0.0 25.0 285.6456 329.6336
127.0 0.0 25.0 285.6456 329.7288
127.0 0.0 25.0 285.6456 329.8241
127.0 0.0 25.0 285.6456 329.9193
127.0 0.0 25.0 285.6456 330.0146
127.0 0.0 25.0 285.6456 330.1098
127.0 0.0 25.0 285.6456 330.2050
127.0 0.0 25.0 285.6456 330.3003
127.0 0.0 25.0 285.6456 330.3955
127.0 0.0 25.0 285.6456 330.4908
127.0 0.0 25.0 285.6456 330.5860
127.0 0.0 25.0 285.6456 330.6813
127.0 0.0 25.0 285.6456 330.7765
127.0 0.0 25.0 285.6456 336.0947
127.0 0.0 25.0 285.6456 336.1913
127.0 0.0 25.0 285.6456 336.2878
127.0 0.0 25.0 285.6456 336.3844
127.0 0.0 25.0 285.6456 336.4809
127.0 0.0 25.0 285.6456 336.5775
127.0 0.0 25.0 285.6456 336.6741
127.0 0.0 25.0 285.6456 336.7706
127.0 0.0 25.0 285.6456 336.8672
127.0 0.0 25.0 285.6456 336.9637
127.0 0.0 25.0 285.6456 337.0603
127.0 0.0 25.0 285.6456 337.1568
127.0 0.0 25.0 285.6456 337.2534
127.0 0.0 25.0 285.6456 337.3500
127.0 0.0 25.0 285.6456 337.4465
127.0 0.0 25.0 285.6456 337.5431
127.0 0.0 25.0 285.6456 337.6396
127.0 0.0 25.0 285.6456 337.7362
127.0 0.0 25.0 285.6456 337.8327
127.0 0.0 25.0 285.6456 337.9293
127.0 0.0 25.0 285.6456 338.0259
127.0 0.0 25.0 285.6456 338.1224
127.0 0.0 25.0 285.6456 338.2190
127.0 0.0 25.0 285.6456 338.3155
127.0 0.0 25.0 285.6456 338.4121
127.0 0.0 25.0 285.6456 344.0334
127.0 0.0 25.0 285.6456 344.1314
127.0 0.0 25.0 285.6456 344.2295
127.0 0.0 25.0 285.6456 344.3276
127.0 0.0 25.0 285.6456 344.4256
127.0 0.0 25.0 285.6456 344.5237
127.0 0.0 25.0 285.6456 344.6218
127.0 0.0 25.0 285.6456 344.7198
127.0 0.0 25.0 285.6456 344.8179
127.0 0.0 25.0 285.6456 344.9160
127.0 0.0 25.0 285.6456 345.0140
127.0 0.0 25.0 285.6456 345.1121
127.0 0.0 25.0 285.6456 345.2102
127.0 0.0 25.0 285.6456 345.3082
127.0 0.0 25.0 285.6456 345.4063
127.0 0.0 25.0 285.6456 345.5044
127.0 0.0 25.0 285.6456 345.6025
127.0 0.0 25.0 285.6456 345.7005
127.0 0.0 25.0 285.6456 345.7986
127.0 0.0 25.0 285.6456 345.8967
127.0 0.0 25.0 285.6456 345.9947
127.0 0.0 25.0 285.6456 346.0928
127.0 0.0 25.0 285.6456 346.1909
127.0 0.0 25.0 285.6456 346.2889
127.0 0.0 25.0 285.6456 346.3870
127.0 0.0 25.0 285.6456 346.4851
127.0 0.0 25.0 285.6456 346.5831
127.0 0.0 25.0 285.6456 346.6812
127.0 0.0 25.0 285.6456 346.7793
127.0 0.0 25.0 285.6456 346.8773
127.0 0.0 25.0 285.6456 352.7158
127.0 0.0 25.0 285.6456 352.8150
127.0 0.0 25.0 285.6456 352.9142
127.0 0.0 25.0 285.6456 353.0134
127.0 0.0 25.0 285.6456 353.1126
127.0 0.0 25.0 285.6456 353.2117
127.0 0.0 25.0 285.6456 353.3109
127.0 0.0 25.0 285.6456 353.4101
127.0 0.0 25.0 285.6456 353.5093
127.0 0.0 25.0 285.6456 353.6085
127.0 0.0 25.0 285.6456 353.7076
127.0 0.0 25.0 285.6456 353.8068
127.0 0.0 25.0 285.6456 353.9060
127.0 0.0 25.0 285.6456 354.0052
127.0 0.0 25.0 285.6456 354.1044
127.0 0.0 25.0 285.6456 354.2036
127.0 0.0 25.0 285.6456 354.3027
127.0 0.0 25.0 285.6456 354.4019
127.0 0.0 25.0 285.6456 354.5011
127.0 0.0 25.0 285.6456 354.6003
127.0 0.0 25.0 285.6456 354.6995
127.0 0.0 25.0 285.6456 354.7986
127.0 0.0 25.0 285.6456 354.8978
127.0 0.0 25.0 285.6456 354.9970
127.0 0.0 25.0 285.6456 355.0962
127.0 0.0 25.0 285.6456 355.1954
127.0 0.0 25.0 285.6456 355.2946
127.0 0.0 25.0 285.6456 355.3937
127.0 0.0 25.0 285.6456 355.4929
127.0 0.0 25.0 285.6456 355.5921
127.0 0.0 25.0 285.6456 355.6913
127.0 0.0 25.0 285.6456 355.7905
127.0 0.0 25.0 285.6456 355.8896
127.0 0.0 25.0 285.6456 361.8171
127.0 0.0 25.0 285.6456 361.9146
127.0 0.0 25.0 285.6456 362.0121
127.0 0.0 25.0 285.6456 362.1096
127.0 0.0 25.0 285.6456 362.2070
127.0 0.0 25.0 285.6456 362.3045
127.0 0.0 25.0 285.6456 362.4020
127.0 0.0 25.0 285.6456 362.4995
127.0 0.0 25.0 285.6456 362.5969
127.0 0.0 25.0 285.6456 362.6944
127.0 0.0 25.0 285.6456 362.7919
127.0 0.0 25.0 285.6456 362.8894
127.0 0.0 25.0 285.6456 362.9868
127.0 0.0 25.0 285.6456 363.0843
127.0 0.0 25.0 285.6456 363.1818
127.0 0.0 25.0 285.6456 363.2793
127.0 0.0 25.0 285.6456 363.3768
127.0 0.0 25.0 285.6456 363.4742
127.0 0.0 25.0 285.6456 363.5717
127.0 0.0 25.0 285.6456 363.6692
127.0 0.0 25.0 285.6456 363.7667
127.0 0.0 25.0 285.6456 363.8641
127.0 0.0 25.0 285.6456 363.9616
127.0 0.0 25.0 285.6456 364.0591
127.0 0.0 25.0 285.6456 364.1566
127.0 0.0 25.0 285.6456 364.2540
127.0 0.0 25.0 285.6456 364.3515
127.0 0.0 25.0 285.6456 364.4490
127.0 0.0 25.0 285.6456 364.5465
127.0 0.0 25.0 285.6456 364.6439
127.0 0.0 25.0 285.6456 364.7414
127.0 0.0 25.0 285.6456 364.8389
127.0 0.0 25.0 285.6456 364.9364
127.0 0.0 25.0 285.6456 365.0339
